Q,A
재학 증명서나 졸업 증명서 같은 서류는 무료로 발급을 못 하나요?,"무료로 발급되는 곳은 없으며, 홍지관 3층에 자동 발급기가 있습니다."
재학 증명서나 졸업 증명서 같은 서류는 어디서 발급 받을 수 있나요?,"무료로 발급되는 곳은 없으며, 홍지관 3층에 자동 발급기가 있습니다."
재학 증명서나 졸업 증명서 같은 서류는 온라인에서 발급 받을 수 있나요?,"무료로 발급되는 곳은 없으며, 홍지관 3층에 자동 발급기가 있습니다."
BEACE 활동으로 학점을 얻을 수 있나요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
비에이스 활동으로 학점을 얻을 수 있나요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
beace 활동으로 학점을 얻을 수 있나요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
비에이스 점수 100점을 쌓으면 1학점을 주는 건 가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
BEACE 점수 100점을 쌓으면 1학점을 주는 건 가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
beace 점수 100점을 쌓으면 1학점을 주는 건 가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
비에이스 점수 100점당 1학점인가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
BEACE 점수 100점당 1학점 인가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
beace 점수 100점당 1학점 인가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
재수강 하려는 과목이 없어졌는데 다시 수강할 방법이 없나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
재수강 하려는 과목이 사라졌는데 다시 수강할 방법이 없나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
재수강 하려는 과목이 사라졌는데 어떻게 학점을 채워야하나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
재수강 하려는 과목이 없어졌는데 어떻게 학점을 채워야하나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
교내 식당 학식 메뉴들의 가격대는 어떻게 되나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
학식당에서 학식을 얼마주고 먹을 수 있나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
